fbgn,BamHSbam_input_1,BamHSbam_input_2,BamHSbam_input_3,BamHSbam_input_4,BamHSbam_polysome_1,BamHSbam_polysome_2,BamHSbam_polysome_3,BamHSbam_polysome_4,BamRNAi_input_1,BamRNAi_input_2,BamRNAi_input_3,BamRNAi_polysome_1,BamRNAi_polysome_2,BamRNAi_polysome_3,TKV_input_1,TKV_input_2,TKV_polysome_1,TKV_polysome_2,youngWT_input_1,youngWT_input_2,youngWT_polysome_1,youngWT_polysome_2
FBgn0052305,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0035321,1203,832,995,843,2827,518,1229,1034,1783,2468,1924,820,3769,1593,1004,757,1372,774,641,1263,332,1213
FBgn0015359,160,536,385,767,944,167,1500,987,891,840,1288,419,1585,1784,780,461,1426,558,1108,1782,1155,2446
FBgn0015360,170,261,321,1311,592,396,1765,1471,678,461,931,175,659,1327,633,348,1059,220,899,1997,443,1228
FBgn0035323,142,209,184,305,264,189,307,329,330,408,665,133,715,561,239,195,304,294,286,533,212,462
FBgn0000543,584,462,378,838,1466,133,802,972,966,713,1691,408,1335,980,550,382,1125,365,484,1023,269,806
FBgn0035325,0,0,0,3,0,0,0,4,10,14,16,0,4,12,7,3,14,15,6,1,0,0
FBgn0267479,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0052304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0052302,0,0,0,3,0,0,0,3,2,0,0,0,10,5,0,0,2,0,0,6,0,0
FBgn0041709,93,1,10,1038,412,5,1950,810,21,63,20,47,98,3972,943,1767,3701,3223,1503,6820,1858,14640
FBgn0052303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035328,40,80,1,958,475,8,2855,1116,2,9,13,19,25,4752,784,898,3867,1948,1500,7504,1267,9110
FBgn0264002,21,51,2,18,97,0,0,20,9,36,6,0,12,15,19,3,0,13,28,7,109,0
FBgn0266976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0266975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035331,132,60,87,36,229,1,148,28,346,332,263,55,342,92,1,20,1,0,1,10,0,20
FBgn0035332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035333,810,996,1025,992,1761,125,1561,863,1748,920,2523,139,1261,1331,706,585,480,266,592,1459,353,505
FBgn0035334,651,462,422,545,795,338,1591,1083,1004,1381,1844,1127,2496,2032,633,464,1916,1221,835,1782,880,2900
FBgn0035335,244,307,323,447,473,109,1408,720,736,866,1332,1163,1456,1494,644,343,1560,773,641,1289,646,3421
FBgn0035336,322,599,417,1312,654,3,1689,812,671,318,1409,175,542,964,472,287,380,204,870,1284,343,923
FBgn0035337,246,178,263,666,320,137,985,359,399,295,932,136,451,783,202,149,264,94,369,889,326,732
FBgn0266696,3260,3150,5565,4757,6377,1021,5844,5269,5569,2579,8206,752,3985,4719,2262,1522,2329,463,4103,4570,1358,1868
FBgn0261858,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FBgn0052298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0052299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035343,0,0,11,2,0,0,0,6,0,0,1,0,0,10,0,0,0,0,1,21,0,40
FBgn0035344,0,0,15,12,130,0,1,12,29,32,37,23,80,12,18,24,68,33,19,12,0,12
FBgn0035346,838,565,644,833,1521,252,902,700,674,709,697,106,662,601,247,200,125,68,279,634,94,289
FBgn0035348,30,0,60,44,46,0,13,28,61,63,34,10,139,50,30,73,43,67,42,62,0,65
FBgn0266974,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0010905,511,827,1612,2954,1963,390,1989,3501,939,304,1807,25,336,1679,605,312,300,50,1703,2595,674,555
FBgn0266680,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0260480,0,55,46,5,0,0,0,6,0,0,3,0,7,0,0,0,0,0,0,0,0,0
FBgn0010909,2341,5582,6313,4995,5292,1824,7279,3686,5243,2365,7432,492,2382,4289,2478,1420,966,331,4060,4162,733,1792
FBgn0261602,30944,16791,17834,35165,55748,3920,40864,44935,38070,53058,47787,66901,32169,51154,34796,19632,78200,31558,41365,57725,33293,140473
FBgn0016794,521,648,768,1760,947,108,2883,1648,963,725,1141,132,849,1535,649,286,635,147,1190,2162,517,935
FBgn0062517,0,0,0,1,0,0,0,0,4,3,8,0,2,7,0,0,0,0,0,2,0,0
FBgn0028504,113,85,93,308,254,2,641,347,359,133,452,105,357,244,230,100,431,182,247,292,121,241
FBgn0035355,274,205,146,131,230,2,811,164,363,465,443,431,672,386,225,170,403,396,225,328,207,587
FBgn0035356,87,46,114,106,137,1,329,215,249,276,542,165,476,406,139,122,341,192,128,330,112,415
FBgn0011828,9444,10226,13299,4463,21892,2987,5812,5291,18351,14337,15393,4922,20222,4049,3533,4913,5366,2839,595,784,416,612
FBgn0267643,0,0,8,0,58,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
FBgn0267644,0,0,5,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,9
FBgn0267220,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
FBgn0250911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035357,0,2,20,27,0,0,2,20,33,9,33,0,14,4,2,5,22,5,12,7,0,0
FBgn0035358,28,34,0,0,0,0,0,3,7,12,15,21,13,10,10,14,0,24,3,2,0,0
